nr,year,black,exper,hisp,hours,married,educ,union,lwage,expersq,occupation,id
120,1984,0,6,0,3564,0,10,0,1.7036470000000001,36,9,6
120,1985,0,7,0,3979,0,10,0,1.4458030000000002,49,9,6
120,1986,0,8,0,4351,0,10,0,1.8063639999999999,64,4,6
120,1987,0,9,0,3568,0,10,0,2.14812,81,4,6
126,1980,0,2,0,3115,0,13,0,1.7372849999999997,4,3,7
126,1981,0,3,0,2735,0,13,0,1.9896009999999997,9,2,7
126,1982,0,4,0,2390,0,13,0,2.189917,16,2,7
126,1983,0,5,0,2340,0,13,0,1.855463,25,3,7
126,1984,0,6,0,2250,0,13,0,1.922438,36,3,7
126,1985,0,7,0,2340,1,13,0,2.061024,49,3,7
126,1986,0,8,0,2941,1,13,0,1.782202,64,3,7
126,1987,0,9,0,2847,1,13,0,2.414682,81,2,7
150,1980,0,2,0,1876,0,12,0,1.2087350000000001,4,6,8
150,1981,0,3,0,2327,0,12,0,1.19404,9,6,8
150,1982,0,4,0,2006,0,12,0,1.170441,16,6,8
150,1983,0,5,0,1826,0,12,0,1.0979649999999999,25,6,8
150,1984,0,6,0,3414,0,12,0,0.7658162,36,9,8
150,1985,0,7,0,3928,0,12,0,1.119026,49,9,8
150,1986,0,8,0,4000,0,12,0,1.119367,64,6,8
150,1987,0,9,0,4992,0,12,1,0.8314594999999999,81,9,8
162,1980,0,2,0,1874,0,11,1,0.5024701,4,4,9
162,1981,0,3,0,1710,0,11,0,1.064912,9,4,9
162,1982,0,4,0,1488,0,11,0,1.189498,16,3,9
162,1983,0,5,0,939,0,11,0,1.5398889999999998,25,7,9
162,1984,0,6,0,1980,0,11,0,1.598286,36,2,9
162,1985,0,7,0,2735,0,11,0,1.737321,49,2,9
162,1986,0,8,0,2720,0,11,0,1.9884560000000002,64,2,9
162,1987,0,9,0,2795,0,11,0,2.1586790000000002,81,2,9
166,1980,0,2,0,1296,0,10,1,1.0052940000000001,4,7,10
166,1981,0,3,0,1942,0,10,1,0.9376874,9,7,10
166,1982,0,4,0,1245,0,10,1,1.3674879999999998,16,7,10
166,1983,0,5,0,1196,0,10,1,1.378009,25,4,10
166,1984,0,6,0,2387,0,10,1,1.1701840000000001,36,4,10
166,1985,0,7,0,2160,0,10,0,1.728221,49,5,10
166,1986,0,8,0,2336,1,10,0,1.7098650000000002,64,2,10
166,1987,0,9,0,2301,1,10,0,1.851075,81,5,10
189,1980,0,2,0,520,0,14,0,1.1305450000000001,4,4,11
189,1981,0,3,0,520,0,14,0,0.836248,9,4,11
189,1982,0,4,0,520,0,14,0,1.46736,16,4,11
189,1983,0,5,0,520,0,14,0,1.071484,25,3,11
189,1984,0,6,0,1400,0,14,0,1.44592,36,4,11
189,1985,0,7,0,1754,0,14,0,1.685116,49,3,11
189,1986,0,8,0,1840,0,14,0,1.686175,64,4,11
189,1987,0,9,0,1872,0,14,0,1.7551299999999999,81,4,11
193,1980,0,2,0,980,0,14,0,1.565692,4,1,12
193,1981,0,3,0,925,0,14,0,2.493875,9,1,12
193,1982,0,4,0,2187,0,14,0,1.822662,16,1,12
193,1983,0,5,0,2080,0,14,0,2.3803360000000002,25,1,12
193,1984,0,6,0,2346,0,14,0,2.217129,36,1,12
193,1985,0,7,0,2487,1,14,0,2.272032,49,1,12
193,1986,0,8,0,2328,1,14,0,2.353799,64,1,12
193,1987,0,9,0,2132,1,14,0,2.42945,81,1,12
209,1980,0,3,0,2340,0,11,0,1.918003,9,9,13
209,1981,0,4,0,1935,0,11,0,0.7654076999999999,16,9,13
209,1982,0,5,0,2080,0,11,0,1.9781849999999999,25,9,13
209,1983,0,6,0,2080,0,11,0,1.9485540000000001,36,9,13
209,1984,0,7,0,2280,0,11,0,2.037026,49,9,13
209,1985,0,8,0,2520,0,11,0,1.902575,64,2,13
209,1986,0,9,0,2395,0,11,0,1.972604,81,2,13
209,1987,0,10,0,2145,0,11,0,2.186982,100,2,13
212,1980,0,2,0,2080,0,11,0,1.784472,4,5,14
212,1981,0,3,0,2080,0,11,0,2.179983,9,6,14
212,1982,0,4,0,2110,0,11,1,1.9638650000000002,16,6,14
212,1983,0,5,0,2550,0,11,0,2.0449330000000003,25,6,14
212,1984,0,6,0,2560,0,11,0,2.012861,36,4,14
212,1985,0,7,0,2704,0,11,0,2.0969860000000002,49,6,14
212,1986,0,8,0,2856,1,11,0,2.143966,64,6,14
212,1987,0,9,0,2912,1,11,1,2.241284,81,6,14
218,1980,0,2,0,2080,0,15,0,2.013313,4,1,15
218,1981,0,3,0,2530,0,15,0,1.9621520000000001,9,1,15
218,1982,0,4,0,2240,0,15,0,2.275641,16,4,15
218,1983,0,5,0,2520,1,15,0,2.194918,25,1,15
218,1984,0,6,0,2405,1,15,0,2.428337,36,1,15
218,1985,0,7,0,2130,1,15,0,2.7230369999999997,49,4,15
218,1986,0,8,0,2080,1,15,0,2.966396,64,2,15
218,1987,0,9,0,2080,1,15,0,3.065052,81,2,15
243,1980,0,4,0,2000,0,12,0,1.564181,16,5,16
243,1981,0,5,0,2080,0,12,0,1.683546,25,2,16
243,1982,0,6,0,2080,0,12,0,1.6905029999999999,36,2,16
243,1983,0,7,0,2080,1,12,0,1.6608720000000001,49,2,16
243,1984,0,8,0,2080,1,12,0,1.6980509999999998,64,2,16
243,1985,0,9,0,2168,1,12,0,1.671768,81,2,16
243,1986,0,10,0,2161,1,12,0,1.635718,100,2,16
243,1987,0,11,0,2080,1,12,0,1.7869709999999999,121,2,16
259,1980,0,3,0,1984,1,12,1,2.10719,9,5,17
259,1981,0,4,0,2080,1,12,1,2.089011,16,5,17
259,1982,0,5,0,1755,1,12,1,2.042724,25,5,17
259,1983,0,6,0,3157,1,12,1,1.3081559999999999,36,5,17
259,1984,0,7,0,2100,1,12,0,1.4881520000000001,49,6,17
259,1985,0,8,0,2080,1,12,0,1.542818,64,6,17
259,1986,0,9,0,2996,1,12,0,1.5351350000000001,81,5,17
259,1987,0,10,0,3243,1,12,0,1.454336,100,6,17
260,1980,0,2,0,815,0,11,1,1.629912,4,4,18
260,1981,0,3,0,1898,0,11,1,1.7751130000000002,9,7,18
260,1982,0,4,0,2208,0,11,0,1.9672560000000001,16,6,18
260,1983,0,5,0,2080,1,11,0,2.075186,25,1,18
260,1984,0,6,0,2080,1,11,0,2.128834,36,1,18
260,1985,0,7,0,2080,1,11,0,2.2684189999999997,49,1,18
260,1986,0,8,0,2710,1,11,0,1.9921389999999999,64,6,18
260,1987,0,9,0,2262,1,11,0,2.421555,81,5,18
309,1980,0,3,0,3560,0,12,0,1.7860759999999998,9,6,19
309,1981,0,4,0,2780,0,12,0,2.280766,16,6,19
309,1982,0,5,0,2500,0,12,0,2.264266,25,6,19
309,1983,0,6,0,2400,1,12,0,2.275456,36,5,19
309,1984,0,7,0,2690,1,12,0,2.208133,49,6,19
309,1985,0,8,0,3070,1,12,0,2.199852,64,5,19
309,1986,0,9,0,2915,1,12,0,2.2069,81,6,19
309,1987,0,10,0,2670,1,12,0,2.476867,100,6,19
351,1980,0,3,0,2053,0,12,0,1.643387,9,4,20
351,1981,0,4,0,1998,0,12,0,1.33558,16,4,20
351,1982,0,5,0,1853,1,12,0,1.522818,25,4,20
351,1983,0,6,0,1943,1,12,0,1.418851,36,4,20
351,1984,0,7,0,1416,1,12,0,0.9039273999999999,49,4,20
351,1985,0,8,0,1840,1,12,0,1.888564,64,4,20
351,1986,0,9,0,3005,1,12,0,1.78345,81,1,20
351,1987,0,10,0,2565,1,12,0,1.6980080000000002,100,1,20
353,1980,0,3,0,2112,0,12,0,1.838197,9,6,21
353,1981,0,4,0,2080,0,12,1,1.817077,16,6,21
353,1982,0,5,0,2310,0,12,0,1.6717400000000002,25,5,21
353,1983,0,6,0,2120,0,12,0,1.5728309999999999,36,6,21
353,1984,0,7,0,2080,0,12,0,1.6825459999999999,49,5,21
353,1985,0,8,0,2080,0,12,0,1.58364,64,5,21
353,1986,0,9,0,2080,0,12,0,1.773293,81,5,21
353,1987,0,10,0,2080,0,12,0,1.8610790000000001,100,5,21
383,1980,1,2,0,2080,0,12,0,1.462888,4,6,22
383,1981,1,3,0,2080,0,12,0,1.570217,9,6,22
383,1982,1,4,0,2080,0,12,1,1.6566020000000001,16,6,22
383,1983,1,5,0,2080,0,12,0,1.7254099999999999,25,4,22
383,1984,1,6,0,2080,0,12,0,1.772159,36,4,22
383,1985,1,7,0,2080,0,12,0,2.011084,49,5,22
383,1986,1,8,0,2080,0,12,0,1.9910169999999998,64,5,22
383,1987,1,9,0,2080,0,12,0,1.9520509999999998,81,5,22
408,1980,0,2,0,2120,0,11,0,1.652095,4,5,23
408,1981,0,3,0,2295,1,11,0,1.489535,9,6,23
408,1982,0,4,0,2120,1,11,0,1.8811759999999997,16,5,23
408,1983,0,5,0,2184,1,11,0,2.061032,25,5,23
408,1984,0,6,0,2496,1,11,1,2.488836,36,5,23
408,1985,0,7,0,2496,1,11,1,2.4309380000000003,49,5,23
408,1986,0,8,0,1838,1,11,1,2.53456,64,5,23
408,1987,0,9,0,3176,1,11,1,2.069602,81,5,23
424,1980,0,5,0,2080,1,12,0,2.165839,25,5,24
424,1981,0,6,0,2080,1,12,0,2.3254,36,5,24
424,1982,0,7,0,2080,1,12,0,2.383651,49,5,24
424,1983,0,8,0,2080,1,12,0,2.337212,64,6,24
424,1984,0,9,0,2080,1,12,0,2.4125080000000003,81,5,24
424,1985,0,10,0,2080,1,12,0,2.384146,100,5,24
424,1986,0,11,0,2080,1,12,0,2.35203,121,5,24
424,1987,0,12,0,2080,1,12,0,2.577757,144,5,24
464,1980,0,2,0,3279,0,13,0,0.9726263,4,2,25
464,1981,0,3,0,3374,0,13,0,1.003104,9,3,25
464,1982,0,4,0,3380,1,13,0,1.0996350000000001,16,2,25
464,1983,0,5,0,3380,1,13,0,1.214584,25,4,25
464,1984,0,6,0,3524,1,13,0,1.319242,36,6,25
464,1985,0,7,0,3392,1,13,0,1.389742,49,3,25
464,1986,0,8,0,3295,1,13,0,1.5735379999999999,64,3,25
464,1987,0,9,0,2380,1,13,0,1.9007,81,3,25
483,1980,0,5,0,1645,0,12,0,1.682627,25,5,26
483,1981,0,6,0,2050,0,12,0,1.6617060000000001,36,2,26
483,1982,0,7,0,2080,0,12,0,1.7550419999999998,49,5,26
483,1983,0,8,0,2080,0,12,1,1.7534509999999999,64,7,26
483,1984,0,9,0,2080,0,12,0,1.618008,81,6,26
483,1985,0,10,0,2080,0,12,0,1.648179,100,4,26
483,1986,0,11,0,2080,0,12,0,1.7458939999999998,121,6,26
483,1987,0,12,0,2265,0,12,0,1.727082,144,6,26
556,1980,0,2,0,1298,0,14,0,1.939345,4,9,27
556,1981,0,3,0,2592,0,14,0,2.120264,9,1,27
556,1982,0,4,0,2600,0,14,0,2.160507,16,1,27
556,1983,0,5,0,2150,0,14,0,2.4892540000000003,25,2,27
556,1984,0,6,0,2080,0,14,0,2.3756939999999998,36,1,27
556,1985,0,7,0,2510,0,14,0,2.295887,49,2,27
556,1986,0,8,0,3170,0,14,0,2.29909,64,1,27
556,1987,0,9,0,2505,0,14,0,2.5818790000000003,81,2,27
560,1980,0,2,0,2000,0,12,0,1.386847,4,9,28
560,1981,0,3,0,1906,0,12,0,2.127582,9,9,28
560,1982,0,4,0,1110,0,12,0,0.9688701999999999,16,9,28
560,1983,0,5,0,2280,0,12,0,1.163599,25,3,28
560,1984,0,6,0,1981,0,12,0,1.356619,36,1,28
560,1985,0,7,0,2459,0,12,0,1.416253,49,2,28
560,1986,0,8,0,3930,0,12,1,1.214983,64,2,28
560,1987,0,9,0,3709,0,12,0,1.639359,81,1,28
569,1980,0,2,0,2680,0,12,0,0.6837251,4,2,29
569,1981,0,3,0,2230,0,12,0,1.078989,9,3,29
569,1982,0,4,0,2825,0,12,0,0.8396357,16,2,29
569,1983,0,5,0,2069,0,12,0,1.5075690000000002,25,3,29
569,1984,0,6,0,2520,0,12,0,1.0206520000000001,36,2,29
569,1985,0,7,0,2160,0,12,0,0.5425978,49,3,29
569,1986,0,8,0,2480,0,12,0,0.11471630000000001,64,3,29
569,1987,0,9,0,2795,0,12,0,0.3128518,81,1,29
583,1980,0,4,0,2070,0,12,0,1.6267719999999999,16,2,30
583,1981,0,5,0,2110,0,12,0,1.880875,25,5,30
583,1982,0,6,0,2080,0,12,1,1.741197,36,5,30
583,1983,0,7,0,2000,0,12,1,2.194788,49,6,30
583,1984,0,8,0,2080,1,12,0,2.0838360000000002,64,5,30
583,1985,0,9,0,2520,1,12,0,1.918448,81,5,30
583,1986,0,10,0,2180,1,12,0,2.156714,100,5,30
583,1987,0,11,0,2450,0,12,0,1.985041,121,5,30
647,1980,0,2,0,2080,0,12,1,1.396706,4,6,31
647,1981,0,3,0,1960,1,12,1,1.5198260000000001,9,4,31
647,1982,0,4,0,2200,1,12,1,1.509153,16,4,31
647,1983,0,5,0,2208,1,12,1,1.645042,25,4,31
647,1984,0,6,0,2080,0,12,1,1.549015,36,4,31
647,1985,0,7,0,2120,1,12,1,1.826956,49,4,31
647,1986,0,8,0,2215,1,12,1,1.88368,64,4,31
647,1987,0,9,0,2273,1,12,1,2.023661,81,4,31
658,1980,0,4,0,2209,0,12,1,1.7314169999999998,16,4,32
658,1981,0,5,0,2113,0,12,0,1.8137590000000001,25,4,32
658,1982,0,6,0,2280,0,12,1,1.700048,36,6,32
658,1983,0,7,0,2256,0,12,1,1.9396490000000002,49,4,32
658,1984,0,8,0,2523,0,12,0,1.9357529999999998,64,4,32
658,1985,0,9,0,2400,0,12,0,2.099785,81,6,32
658,1986,0,10,0,2145,0,12,0,2.192047,100,4,32
658,1987,0,11,0,2487,0,12,0,2.005143,121,4,32
684,1980,0,2,0,600,0,12,0,2.8217830000000004,4,6,33
684,1981,0,3,0,2080,0,12,0,2.179983,9,6,33
684,1982,0,4,0,1840,1,12,0,2.309427,16,5,33
684,1983,0,5,0,2080,1,12,0,2.251321,25,6,33
684,1984,0,6,0,2080,1,12,0,2.352297,36,6,33
684,1985,0,7,0,2472,1,12,0,2.313848,49,7,33
684,1986,0,8,0,2226,1,12,0,2.25342,64,7,33
684,1987,0,9,0,2184,1,12,0,2.405353,81,1,33
711,1980,0,2,0,1807,0,11,0,1.232025,4,7,34
711,1981,0,3,0,2040,0,11,0,1.366492,9,7,34
711,1982,0,4,0,2080,0,11,0,1.6905029999999999,16,2,34
711,1983,0,5,0,2080,0,11,0,1.6608720000000001,25,5,34
711,1984,0,6,0,2656,0,11,0,1.555876,36,7,34
711,1985,0,7,0,2760,0,11,0,-0.7141255999999999,49,3,34
711,1986,0,8,0,2745,0,11,0,1.468481,64,3,34
711,1987,0,9,0,2860,0,11,0,0.5130058,81,3,34
729,1980,0,2,0,2120,1,13,1,1.9595799999999999,4,7,35
729,1981,0,3,0,1325,0,13,0,1.8933389999999999,9,7,35
729,1982,0,4,0,680,1,13,1,3.096216,16,2,35
729,1983,0,5,0,1080,1,13,1,1.910813,25,7,35
729,1984,0,6,0,2920,1,13,0,1.615264,36,3,35
729,1985,0,7,0,2880,1,13,0,2.0765279999999997,49,3,35
729,1986,0,8,0,3300,1,13,0,2.10754,64,2,35
729,1987,0,9,0,3025,1,13,0,2.155585,81,3,35
731,1980,0,4,0,1352,0,12,0,1.6556389999999999,16,2,36
731,1981,0,5,0,1480,1,12,0,1.464256,25,8,36
731,1982,0,6,0,2470,1,12,0,1.0078280000000002,36,8,36
731,1983,0,7,0,3330,1,12,0,1.477949,49,9,36
731,1984,0,8,0,1130,1,12,0,0.6187201999999999,64,5,36
731,1985,0,9,0,2700,0,12,0,2.2256240000000003,81,7,36
731,1986,0,10,0,2600,0,12,0,2.657731,100,9,36
731,1987,0,11,0,2250,0,12,0,2.139192,121,6,36
732,1980,0,3,0,1980,0,12,0,1.497271,9,6,37
732,1981,0,4,0,2080,0,12,0,1.601716,16,6,37
732,1982,0,5,0,1920,0,12,0,1.504843,25,6,37
732,1983,0,6,0,2575,0,12,0,1.7980470000000002,36,6,37
732,1984,0,7,0,3080,0,12,0,1.6528900000000002,49,6,37
732,1985,0,8,0,2850,0,12,0,1.7633849999999998,64,6,37
732,1986,0,9,0,3075,0,12,0,1.722682,81,6,37
732,1987,0,10,0,3062,0,12,0,1.762061,100,6,37
793,1980,0,2,0,1270,0,14,0,0.8915284,4,4,38
793,1981,0,3,0,1740,0,14,0,1.931022,9,9,38
793,1982,0,4,0,2804,0,14,0,1.90265,16,9,38
793,1983,0,5,0,2548,0,14,0,1.885375,25,9,38
793,1984,0,6,0,3132,0,14,0,1.678708,36,1,38
793,1985,0,7,0,2130,0,14,0,1.8963580000000002,49,2,38
793,1986,0,8,0,2215,0,14,0,1.78837,64,2,38
793,1987,0,9,0,2400,0,14,0,1.563827,81,9,38
797,1980,0,3,0,1476,0,10,0,0.992524,9,7,39
797,1981,0,4,0,1840,0,10,1,2.345145,16,5,39
797,1982,0,5,0,2800,0,10,1,1.680934,25,2,39
797,1983,0,6,0,2126,1,10,0,1.989654,36,7,39
797,1984,0,7,0,2600,1,10,1,2.448014,49,6,39
797,1985,0,8,0,2600,1,10,1,2.45018,64,6,39
797,1986,0,9,0,3542,1,10,1,2.172239,81,6,39
797,1987,0,10,0,3520,1,10,1,2.415984,100,6,39
800,1980,0,2,0,2080,0,11,1,1.5877620000000001,4,9,40
800,1981,0,3,0,2080,0,11,1,1.609438,9,9,40
800,1982,0,4,0,2080,0,11,1,1.508182,16,9,40
800,1983,0,5,0,2080,0,11,1,1.555511,25,9,40
800,1984,0,6,0,2080,0,11,1,1.549015,36,9,40
800,1985,0,7,0,2080,0,11,0,1.61643,49,9,40
800,1986,0,8,0,2080,1,11,1,1.825937,64,9,40
800,1987,0,9,0,2080,1,11,1,1.990435,81,5,40
813,1980,0,2,0,840,0,13,0,1.5562129999999998,4,7,41
813,1981,0,3,0,1000,0,13,0,0.422912,9,1,41
813,1982,0,4,0,2115,0,13,0,0.7104341,16,4,41
813,1983,0,5,0,1725,0,13,0,0.9317216999999999,25,1,41
813,1984,0,6,0,1980,0,13,0,-3.579079,36,1,41
813,1985,0,7,0,1260,0,13,0,1.322756,49,1,41
813,1986,0,8,0,1320,0,13,0,1.3897,64,4,41
813,1987,0,9,0,1905,0,13,0,1.5435,81,1,41
823,1980,0,3,0,492,0,10,0,-0.3726614,9,9,42
823,1981,0,4,0,1527,0,10,0,0.6063144,16,4,42
823,1982,0,5,0,1408,0,10,0,0.8648805,25,3,42
823,1983,0,6,0,2060,0,10,0,0.5121712,36,9,42
823,1984,0,7,0,1780,0,10,0,0.6839116,49,9,42
823,1985,0,8,0,2177,0,10,0,0.9997493000000001,64,3,42
823,1986,0,9,0,2208,0,10,0,1.4348610000000002,81,2,42
823,1987,0,10,0,1963,0,10,0,1.177036,100,3,42
827,1980,0,2,0,1280,0,12,0,0.8836852,4,5,43
827,1981,0,3,0,712,0,12,0,1.424867,9,5,43
827,1982,0,4,0,729,0,12,0,1.365904,16,9,43
827,1983,0,5,0,726,0,12,0,1.391689,25,9,43
827,1984,0,6,0,2330,0,12,0,1.7921900000000002,36,3,43
827,1985,0,7,0,2600,0,12,0,1.9482830000000002,49,3,43
827,1986,0,8,0,2410,1,12,0,2.2636119999999997,64,3,43
827,1987,0,9,0,2160,1,12,0,2.628964,81,3,43
847,1980,1,1,0,2040,0,14,1,1.5627280000000001,1,9,44
847,1981,1,2,0,2120,0,14,1,1.664498,4,1,44
847,1982,1,3,0,2080,0,14,0,1.770546,9,5,44
847,1983,1,4,0,2080,0,14,0,1.7860349999999998,16,5,44
847,1984,1,5,0,2080,0,14,0,2.001,25,5,44
847,1985,1,6,0,2080,0,14,1,1.648179,36,4,44
847,1986,1,7,0,2055,0,14,0,2.125711,49,2,44
847,1987,1,8,0,4120,1,14,1,1.688419,64,4,44
851,1980,0,2,0,2080,0,12,0,1.8758130000000002,4,6,45
851,1981,0,3,0,2080,0,12,0,1.9566759999999999,9,6,45
851,1982,0,4,0,2080,1,12,0,1.8672540000000002,16,6,45
851,1983,0,5,0,2080,1,12,0,2.1745330000000003,25,5,45
851,1984,0,6,0,1806,1,12,0,1.9144970000000001,36,7,45
851,1985,0,7,0,1976,1,12,1,2.0179259999999997,49,5,45
851,1986,0,8,0,1976,1,12,1,2.117659,64,5,45
851,1987,0,9,0,2336,0,12,1,1.977629,81,5,45
863,1980,0,2,0,2650,0,12,0,1.570451,4,1,46
863,1981,0,3,0,2600,0,12,0,1.562185,9,1,46
863,1982,0,4,0,2190,0,12,0,1.569977,16,1,46
863,1983,0,5,0,2080,0,12,0,1.7941200000000002,25,1,46
863,1984,0,6,0,2105,0,12,0,1.837172,36,1,46
863,1985,0,7,0,2313,1,12,0,1.8139349999999999,49,4,46
863,1986,0,8,0,2760,1,12,0,2.038396,64,1,46
863,1987,0,9,0,3220,1,12,0,1.905904,81,1,46
873,1980,0,2,0,1218,0,10,1,0.5968629,4,9,47
873,1981,0,3,0,1300,0,10,0,0.4749912,9,9,47
873,1982,0,4,0,1390,0,10,0,1.090265,16,9,47
873,1983,0,5,0,1638,0,10,1,1.000002,25,9,47
873,1984,0,6,0,2204,0,10,1,0.8330530999999999,36,9,47
873,1985,0,7,0,3195,0,10,1,1.401281,49,1,47
873,1986,0,8,0,2280,0,10,1,1.734129,64,1,47
873,1987,0,9,0,1425,0,10,1,1.882872,81,1,47
891,1980,0,2,0,2000,0,12,1,2.000044,4,6,48
891,1981,0,3,0,1751,1,12,1,2.307712,9,6,48
891,1982,0,4,0,2010,1,12,1,2.3088130000000002,16,6,48
891,1983,0,5,0,1670,0,12,1,1.880416,25,6,48
891,1984,0,6,0,3072,1,12,0,1.8699009999999998,36,6,48
891,1985,0,7,0,3168,1,12,1,2.079198,49,3,48
891,1986,0,8,0,3310,1,12,1,1.88745,64,3,48
891,1987,0,9,0,3640,0,12,0,1.8094270000000001,81,1,48
908,1980,0,2,0,576,0,10,1,0.9975806,4,9,49
908,1981,0,3,0,1016,0,10,1,0.23098670000000002,9,9,49
908,1982,0,4,0,976,0,10,1,0.43226090000000006,16,9,49
908,1983,0,5,0,496,0,10,1,0.9741553,25,9,49
908,1984,0,6,0,1676,0,10,1,0.5122099,36,9,49
908,1985,0,7,0,2434,0,10,0,0.9484363000000001,49,1,49
908,1986,0,8,0,2020,0,10,0,1.2826879999999998,64,7,49
908,1987,0,9,0,1927,1,10,0,1.377867,81,7,49
910,1980,1,2,0,2080,0,13,0,1.865393,4,6,50
910,1981,1,3,0,1420,0,13,0,2.13425,9,4,50
910,1982,1,4,0,2310,0,13,0,1.040897,16,3,50
910,1983,1,5,0,3008,0,13,0,1.761968,25,1,50
910,1984,1,6,0,2360,0,13,0,1.9191580000000001,36,2,50
910,1985,1,7,0,2475,0,13,0,2.257066,49,1,50
910,1986,1,8,0,2404,0,13,0,2.111954,64,1,50
910,1987,1,9,0,2928,0,13,0,1.8923310000000002,81,1,50
916,1980,0,2,0,1120,0,13,0,1.175441,4,6,51
916,1981,0,3,0,585,0,13,0,1.411612,9,6,51
916,1982,0,4,0,1515,0,13,0,1.615795,16,6,51
916,1983,0,5,0,2080,0,13,0,1.688941,25,7,51
916,1984,0,6,0,2080,0,13,0,1.96155,36,5,51
916,1985,0,7,0,2400,0,13,0,1.910543,49,5,51
916,1986,0,8,0,2200,0,13,0,2.018309,64,2,51
916,1987,0,9,0,2080,0,13,0,2.282292,81,5,51
919,1980,0,3,0,1236,1,12,0,1.568009,9,5,52
919,1981,0,4,0,2080,1,12,1,1.395864,16,9,52
919,1982,0,5,0,2080,1,12,1,1.380348,25,9,52
919,1983,0,6,0,2080,1,12,1,1.494423,36,9,52
919,1984,0,7,0,2080,1,12,1,1.3948639999999999,49,9,52
919,1985,0,8,0,2080,1,12,1,1.440539,64,9,52
919,1986,0,9,0,2080,1,12,1,1.596362,81,9,52
919,1987,0,10,0,2080,1,12,1,1.619917,100,9,52
922,1980,0,2,0,1604,0,12,0,1.602506,4,2,53
922,1981,0,3,0,2300,0,12,0,2.03499,9,7,53
922,1982,0,4,0,2084,0,12,0,2.238628,16,6,53
922,1983,0,5,0,2066,0,12,0,2.2176709999999997,25,2,53
922,1984,0,6,0,2540,0,12,0,2.4478310000000003,36,5,53
922,1985,0,7,0,2600,0,12,0,2.6036900000000003,49,2,53
922,1986,0,8,0,3140,0,12,0,2.35569,64,5,53
922,1987,0,9,0,3575,1,12,0,2.186982,81,5,53
924,1980,0,1,0,248,0,11,0,0.8535584999999999,1,1,54
924,1981,0,2,0,970,0,11,0,0.892167,4,4,54
924,1982,0,3,0,1189,0,11,0,0.8500413,9,1,54
924,1983,0,4,0,2136,0,11,0,0.5909376999999999,16,1,54
924,1984,0,5,0,2520,0,11,0,1.2029729999999998,25,3,54
924,1985,0,6,0,2284,0,11,0,1.554618,36,3,54
924,1986,0,7,0,2294,0,11,0,1.802116,49,3,54
